Power Consumed,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
9.25E-07,1.666235,1.588476,1.745209
9.25E-07,1.662896,1.585314,1.741682
9.25E-07,1.659575,1.582168,1.738176
9.25E-07,1.656272,1.579039,1.73469
9.25E-07,1.652988,1.575927,1.731223
9.25E-07,1.649721,1.57283,1.727776
9.25E-07,1.646472,1.569749,1.724349
9.26E-07,1.64324,1.566684,1.72094
9.26E-07,1.640025,1.563634,1.717551
9.26E-07,1.636827,1.5606,1.71418
9.26E-07,1.633645,1.55758,1.710827
9.26E-07,1.63048,1.554576,1.707492
9.26E-07,1.627332,1.551586,1.704176
9.26E-07,1.624199,1.548611,1.700876
9.26E-07,1.621082,1.54565,1.697595
9.26E-07,1.617981,1.542703,1.694331
9.26E-07,1.614895,1.539771,1.691083
9.27E-07,1.611825,1.536852,1.687853
9.27E-07,1.60877,1.533947,1.684639
9.27E-07,1.60573,1.531056,1.681441
9.27E-07,1.602704,1.528178,1.67826
9.27E-07,1.599693,1.525314,1.675095
9.27E-07,1.596697,1.522462,1.671945
9.27E-07,1.593714,1.519624,1.668812
9.27E-07,1.590746,1.516798,1.665693
9.27E-07,1.587792,1.513985,1.662591
9.27E-07,1.584852,1.511185,1.659503
9.28E-07,1.581925,1.508397,1.65643
9.28E-07,1.579012,1.505621,1.653372
9.28E-07,1.576112,1.502858,1.650328
9.28E-07,1.573225,1.500106,1.647299
9.28E-07,1.570352,1.497367,1.644284
9.29E-07,1.567491,1.494639,1.641283
9.29E-07,1.564643,1.491923,1.638297
9.29E-07,1.561808,1.489218,1.635324
9.29E-07,1.558985,1.486525,1.632365
9.29E-07,1.556174,1.483843,1.629419
9.29E-07,1.553376,1.481173,1.626487
9.30E-07,1.55059,1.478513,1.623567
9.30E-07,1.547816,1.475864,1.620661
9.30E-07,1.545053,1.473227,1.617768
9.30E-07,1.542303,1.470599,1.614888
9.30E-07,1.539564,1.467983,1.61202
9.30E-07,1.536837,1.465377,1.609165
9.30E-07,1.534121,1.462782,1.606323
9.30E-07,1.531416,1.460197,1.603492
9.31E-07,1.528722,1.457622,1.600674
9.31E-07,1.52604,1.455057,1.597868
9.31E-07,1.523368,1.452502,1.595074
9.31E-07,1.520707,1.449957,1.592291
9.31E-07,1.518057,1.447422,1.58952
9.31E-07,1.515418,1.444897,1.586761
9.31E-07,1.512789,1.442381,1.584013
9.31E-07,1.51017,1.439875,1.581277
9.31E-07,1.507562,1.437379,1.578552
9.31E-07,1.504964,1.434892,1.575838
9.32E-07,1.502376,1.432414,1.573134
9.32E-07,1.499798,1.429945,1.570442
9.32E-07,1.49723,1.427485,1.567761
9.32E-07,1.494672,1.425035,1.56509
9.32E-07,1.492124,1.422593,1.56243
9.32E-07,1.489585,1.420161,1.55978
9.32E-07,1.487056,1.417737,1.557141
